exerciseId,sessionId,participantId,step,time,state
1,1,1,2,6.6,1
1,1,1,3,8.6,1
1,1,1,4,10.3,1
1,1,1,5,12.2,1
1,1,1,6,13.9,1
1,1,1,7,15.9,1
1,1,1,8,17.6,1
1,1,1,9,19.3,1
1,1,1,10,21.0,2
1,1,1,1,2.0,1
1,1,1,2,5.6,1
1,1,1,3,6.5,1
1,1,1,4,8.4,1
1,1,1,5,9.5,1
1,1,1,6,15.5,1
1,1,1,7,17.2,1
1,1,1,8,41.1,1
1,1,1,9,43.8,1
1,1,1,10,46.6,2
1,1,1,1,4.9,1
1,1,1,2,7.7,1
1,1,1,3,9.0,1
1,1,1,4,12.7,1
1,1,1,5,15.0,1
1,1,1,6,15.7,1
1,1,1,7,16.3,1
1,1,1,8,16.8,1
1,1,1,9,17.2,1
1,1,1,10,17.7,2
1,1,1,1,56.6,1
1,1,1,1,2.9,1
1,1,1,2,6.8,1
1,1,1,3,8.2,1
1,1,1,4,9.2,1
1,1,1,5,10.3,1
1,1,1,6,10.7,1
1,1,1,7,11.5,1
1,1,1,8,11.8,1
1,1,1,9,12.2,1
1,1,1,10,12.7,2
1,1,1,1,15.7,1
1,1,1,2,19.2,1
1,1,1,3,21.0,1
1,1,1,4,24.1,1
1,1,1,5,25.8,1
1,1,1,6,27.2,1
1,1,1,7,27.8,1
1,1,1,8,28.4,1
1,1,1,1,5.3,1
1,1,1,2,6.8,1
1,1,1,3,8.7,1
1,1,1,4,9.2,1
1,1,1,5,9.6,1
1,1,1,6,10.0,1
1,1,1,7,10.4,1
1,1,1,8,10.8,1
1,1,1,9,11.2,1
1,1,1,10,12.1,2
1,1,1,1,66.8,1
1,1,1,2,67.4,1
1,1,1,3,68.0,1
1,1,1,4,68.7,1
1,1,1,5,69.2,1
1,1,1,6,69.7,1
1,1,1,7,70.1,1
1,1,1,8,70.7,1
1,1,1,9,71.3,1
1,1,1,10,71.9,2
